iter	Logloss
0	0.6260978033
1	0.5693030387
2	0.5276795924
3	0.4948601348
4	0.4700720633
5	0.4506424172
6	0.4359164661
7	0.4239045052
8	0.4135735709
9	0.4054358691
10	0.3988733977
11	0.3934771158
12	0.3876371941
13	0.3837139398
14	0.3789624425
15	0.3748876463
16	0.3709582886
17	0.3682121272
18	0.3654347487
19	0.3630972841
20	0.3609356333
21	0.3590301394
22	0.3570282893
23	0.355750574
24	0.3538691405
25	0.3520960453
26	0.3505521719
27	0.349122693
28	0.3480806671
29	0.3471323085
30	0.3459986122
31	0.3448470442
32	0.3440607464
33	0.3430786259
34	0.3423366759
35	0.3416055646
36	0.3408352109
37	0.3402635551
38	0.3396095013
39	0.3388928296
40	0.3384696435
41	0.3376455956
42	0.33706264
43	0.3366098091
44	0.3360495942
45	0.3355719135
46	0.3351404389
47	0.3345889626
48	0.3338869989
49	0.3335007004
50	0.3330524512
51	0.3327065288
52	0.3326613482
53	0.3323126756
54	0.3320854767
55	0.3316297243
56	0.3314004114
57	0.3310429216
58	0.3306535594
59	0.3303873845
60	0.3300557716
61	0.3297242986
62	0.3292196444
63	0.328639863
64	0.3281894863
65	0.3281563475
66	0.3279073555
67	0.3276413286
68	0.3275567315
69	0.3273181712
70	0.3271611793
71	0.3268732497
72	0.326735488
73	0.3264492613
74	0.3262254219
75	0.3258919007
76	0.3254302963
77	0.3253769353
78	0.3251218129
79	0.3249397469
80	0.3248982338
81	0.3245697762
82	0.3242240803
83	0.3239695234
84	0.3235810045
85	0.323365062
86	0.3231676007
87	0.3228539835
88	0.3226567712
89	0.322481244
90	0.3223351236
91	0.3222176321
92	0.3215010451
93	0.3214661475
94	0.3214034274
95	0.3210282624
96	0.3209945162
97	0.3207687309
98	0.3205007786
99	0.3203502021
100	0.320060696
101	0.3200465662
102	0.3198645974
103	0.3196219018
104	0.3194497745
105	0.3190983553
106	0.3187047298
107	0.3185081192
108	0.3182668909
109	0.3181794377
110	0.3178387628
111	0.317665151
112	0.3174096959
113	0.3171873462
114	0.3170293937
115	0.3168297668
116	0.316542656
117	0.3158548002
118	0.3154641735
119	0.3152084198
120	0.3149778075
121	0.3143036993
122	0.31409445
123	0.3138302991
124	0.3136726789
125	0.3131977671
126	0.3128201527
127	0.31247798
128	0.3122687118
129	0.3117220404
130	0.311169212
131	0.3109745161
132	0.3105414426
133	0.3102704663
134	0.3100567108
135	0.309791393
136	0.3094924652
137	0.3093245341
138	0.3090003604
139	0.3087648423
140	0.3085234455
141	0.3082964375
142	0.3079673634
143	0.3077108606
144	0.3074128182
145	0.3070847914
146	0.3067376544
147	0.3062972528
148	0.306086762
149	0.3058463
150	0.3056229697
151	0.3054122254
152	0.3052458702
153	0.3050055205
154	0.3047107061
155	0.3044533836
156	0.304305682
157	0.3040521597
158	0.3036730964
159	0.3034277527
160	0.3031174439
161	0.3030766846
162	0.3028569675
163	0.3027260535
164	0.302487533
165	0.3023882673
166	0.3022768594
167	0.3020525138
168	0.3018742676
169	0.3016676935
170	0.3014939844
171	0.3012540433
172	0.301074371
173	0.30100898
174	0.3009447659
175	0.3007695925
176	0.3007247018
177	0.300561994
178	0.3004331036
179	0.3003008821
180	0.2999784545
181	0.2998121436
182	0.2997083435
183	0.2995907668
184	0.2993755472
185	0.2992677354
186	0.2990755001
187	0.2989621332
188	0.2988351528
189	0.2987625205
190	0.2985731941
191	0.2984959189
192	0.2984214856
193	0.2982698836
194	0.2979544901
195	0.2978929054
196	0.29758041
197	0.2973351842
198	0.2970894063
199	0.2969849399
200	0.2967823012
201	0.2967390801
202	0.2965675675
203	0.2964774455
204	0.2963623018
205	0.296170888
206	0.2960064503
207	0.2957964001
208	0.2957139132
209	0.2955524685
210	0.2954195633
211	0.2952919081
212	0.295041864
213	0.2948305821
214	0.2946263735
215	0.2944786678
216	0.2943626753
217	0.2941411503
218	0.2940938655
219	0.2939196995
220	0.2938370839
221	0.2937820945
222	0.2936303018
223	0.2934741265
224	0.2934131509
225	0.2932299442
226	0.2930658025
227	0.2929223777
228	0.29277878
229	0.2926179
230	0.2924654287
231	0.2923037426
232	0.2922472755
233	0.2920854614
234	0.2919436779
235	0.2918151597
236	0.2916741848
237	0.2915498311
238	0.2913634601
239	0.2912333264
240	0.2910535618
241	0.2908995232
242	0.2907648287
243	0.290717816
244	0.29064709
245	0.2904840183
246	0.2903689073
247	0.2902457943
248	0.2900395978
249	0.2899816919
250	0.2897914411
251	0.2896604246
252	0.2895991776
253	0.2894579272
254	0.2893912282
255	0.2892729085
256	0.2892322363
257	0.2890170378
258	0.2888775232
259	0.2888008076
260	0.2885836329
261	0.2884160046
262	0.2883551827
263	0.2881396318
264	0.2880779549
265	0.2878746001
266	0.2877303681
267	0.2876399698
268	0.2874901167
269	0.2872804009
270	0.2871827609
271	0.2871090458
272	0.2869271323
273	0.2866923596
274	0.2866492671
275	0.2865119872
276	0.2863664983
277	0.2861149427
278	0.2860218222
279	0.2859690653
280	0.2858840646
281	0.2857407176
282	0.2856505307
283	0.2855984628
284	0.2854378772
285	0.2852717562
286	0.2850564825
287	0.2848467257
288	0.2848159652
289	0.2847612852
290	0.2847101777
291	0.2846491865
292	0.2845384837
293	0.2844350595
294	0.2841987194
295	0.2840024624
296	0.2839392417
297	0.2837855227
298	0.283723847
299	0.2835216984
300	0.2833253257
301	0.2832606048
302	0.2830576233
303	0.2829101038
304	0.2828296893
305	0.2828124433
306	0.2827257368
307	0.2826367146
308	0.2825804361
309	0.2824696257
310	0.2824148826
311	0.282341101
312	0.2822312089
313	0.2821408032
314	0.2820500384
315	0.281824869
316	0.2817462897
317	0.2816820567
318	0.2816252536
319	0.2815076067
320	0.2814773935
321	0.2813435699
322	0.2812741936
323	0.2812549309
324	0.2811610406
325	0.2809616948
326	0.2808528384
327	0.2807960457
328	0.2807422825
329	0.2806340457
330	0.280548637
331	0.2804572804
332	0.2803252905
333	0.2802374513
334	0.2801846308
335	0.2800747285
336	0.2799457597
337	0.2798262638
338	0.2796288068
339	0.2793737686
340	0.2791694993
341	0.2790455992
342	0.2789422189
343	0.2789109429
344	0.2788681209
345	0.2786359907
346	0.2785606396
347	0.2784029325
348	0.2782282288
349	0.2780649244
350	0.2779306263
351	0.2778527913
352	0.2777646277
353	0.2776542506
354	0.2776015646
355	0.2775269086
356	0.2774186744
357	0.2773427644
358	0.2772928648
359	0.2771794635
360	0.2770738626
361	0.2770234357
362	0.2769136592
363	0.2768489391
364	0.2767016038
365	0.2766634931
366	0.2766476044
367	0.2766362412
368	0.2765388693
369	0.2764329677
370	0.2763945601
371	0.2763865905
372	0.2762914951
373	0.2761487352
374	0.2760071749
375	0.2758993944
376	0.2758117407
377	0.2757605848
378	0.2756260625
379	0.2755333278
380	0.2754446039
381	0.2753334533
382	0.2752261581
383	0.2751233564
384	0.2750084136
385	0.2748962721
386	0.2747919898
387	0.2747212723
388	0.2746234388
389	0.274514342
390	0.274444584
391	0.2743509287
392	0.2742946657
393	0.2741722708
394	0.2740745392
395	0.2739863937
396	0.2739030193
397	0.2738560097
398	0.2737120353
399	0.2735444721
400	0.2734952932
401	0.2733120616
402	0.2731952924
403	0.27299157
404	0.2728077448
405	0.2725658065
406	0.2724876712
407	0.2723816425
408	0.2723122589
409	0.2722306369
410	0.2721945796
411	0.2721430203
412	0.2720691673
413	0.2719017787
414	0.2718501129
415	0.2716842659
416	0.271534963
417	0.2713877988
418	0.2712929354
419	0.2711704285
420	0.2710143905
421	0.270889188
422	0.2708227458
423	0.2706055923
424	0.2705082766
425	0.2704046057
426	0.2703558185
427	0.2702264652
428	0.2701207153
429	0.2700455978
430	0.2699372776
431	0.2698069
432	0.2697081746
433	0.2695947223
434	0.2694951772
435	0.2694162633
436	0.2692530373
437	0.2691455385
438	0.2690522744
439	0.2690069997
440	0.2689661857
441	0.268917735
442	0.2688174225
443	0.2687019073
444	0.2686397536
445	0.2685086501
446	0.2684493045
447	0.2683378531
448	0.268301627
449	0.2682223119
450	0.2681123278
451	0.2680120186
452	0.2679788781
453	0.2679146383
454	0.2678821434
455	0.2677303731
456	0.2675710572
457	0.2674296891
458	0.2672809842
459	0.2672393791
460	0.2671648904
461	0.2670671582
462	0.2669917161
463	0.2667838084
464	0.2667573015
465	0.2667422982
466	0.2666748828
467	0.2666204066
468	0.2664805871
469	0.2663837033
470	0.2661797455
471	0.2661187446
472	0.2660009564
473	0.2658962886
474	0.2658216154
475	0.2657656001
476	0.2656849934
477	0.2656111503
478	0.2655352438
479	0.265357943
480	0.2652660003
481	0.2651094213
482	0.2649500065
483	0.2648914344
484	0.2648007597
485	0.264717556
486	0.2646655708
487	0.2646293957
488	0.2645381777
489	0.2644511416
490	0.2643580575
491	0.2642170032
492	0.2642002262
493	0.2641376281
494	0.264106691
495	0.2639890666
496	0.2639514415
497	0.2638460991
498	0.2637288037
499	0.263664092
