iter	Passed	Remaining
0	82	40991
1	153	38216
2	257	42662
3	320	39778
4	388	38443
5	450	37112
6	527	37173
7	602	37048
8	692	37777
9	767	37628
10	828	36851
11	895	36412
12	960	35983
13	1024	35581
14	1095	35409
15	1155	34946
16	1327	37711
17	1443	38658
18	1514	38348
19	1577	37871
20	1647	37584
21	1712	37214
22	1792	37185
23	1878	37248
24	1959	37230
25	2030	37010
26	2099	36773
27	2169	36566
28	2242	36419
29	2310	36205
30	2380	36016
31	2442	35725
32	2516	35611
33	2577	35325
34	2651	35225
35	2716	35008
36	2785	34851
37	2853	34688
38	2915	34464
39	2986	34344
40	3047	34120
41	3109	33912
42	3176	33760
43	3226	33440
44	3292	33287
45	3345	33020
46	3411	32877
47	3465	32631
48	3538	32573
49	3565	32092
50	3628	31941
51	3698	31863
52	3766	31762
53	3804	31424
54	3886	31446
55	3959	31395
56	4015	31210
57	4086	31144
58	4158	31079
59	4229	31017
60	4322	31105
61	4397	31066
62	4461	30947
63	4527	30845
64	4598	30774
65	4674	30739
66	4746	30672
67	4806	30535
68	4875	30452
69	4947	30388
70	5016	30309
71	5080	30203
72	5158	30173
73	5231	30117
74	5290	29980
75	5317	29663
76	5386	29590
77	5456	29522
78	5519	29413
79	5578	29289
80	5646	29206
81	5700	29060
82	5769	28988
83	5849	28970
84	5920	28904
85	6020	28982
86	6102	28967
87	6178	28926
88	6242	28826
89	6271	28571
90	6345	28518
91	6418	28466
92	6500	28449
93	6528	28199
94	6611	28186
95	6695	28178
96	6772	28137
97	6849	28095
98	6928	28064
99	7006	28024
100	7125	28149
101	7190	28058
102	7262	27991
103	7342	27959
104	7430	27953
105	7530	27991
106	7620	27988
107	7705	27968
108	7793	27954
109	7888	27969
110	7986	27990
111	8074	27972
112	8105	27758
113	8226	27856
114	8319	27852
115	8399	27804
116	8481	27765
117	8572	27751
118	8657	27719
119	8748	27703
120	8829	27655
121	8903	27584
122	8984	27536
123	9065	27488
124	9154	27462
125	9259	27484
126	9346	27450
127	9457	27486
128	9539	27436
129	9654	27479
130	9780	27548
131	9937	27704
132	10056	27750
133	10164	27763
134	10261	27745
135	10366	27745
136	10461	27718
137	10536	27640
138	10648	27654
139	10761	27672
140	10864	27663
141	10970	27657
142	11066	27626
143	11153	27573
144	11220	27470
145	11317	27440
146	11418	27419
147	11502	27356
148	11620	27374
149	11704	27310
150	11774	27214
151	11890	27224
152	11977	27164
153	12082	27145
154	12153	27052
155	12239	26988
156	12319	26914
157	12425	26895
158	12503	26814
159	12578	26730
160	12660	26657
161	12746	26595
162	12833	26532
163	12918	26467
164	12999	26393
165	13077	26312
166	13154	26231
167	13238	26162
168	13320	26089
169	13409	26029
170	13502	25979
171	13582	25901
172	13664	25827
173	13740	25742
174	13821	25668
175	13897	25583
176	13968	25490
177	14043	25404
178	14118	25318
179	14209	25261
180	14305	25212
181	14394	25150
182	14484	25090
183	14567	25018
184	14642	24931
185	14708	24831
186	14782	24743
187	14864	24669
188	14948	24598
189	15028	24520
190	15113	24449
191	15194	24374
192	15282	24309
193	15357	24224
194	15443	24155
195	15525	24079
196	15615	24018
197	15692	23935
198	15776	23862
199	15858	23787
200	15933	23702
201	16014	23624
202	16108	23567
203	16196	23501
204	16277	23423
205	16361	23351
206	16435	23263
207	16511	23179
208	16582	23088
209	16658	23004
210	16740	22928
211	16811	22837
212	16893	22762
213	16966	22674
214	17047	22598
215	17125	22517
216	17202	22435
217	17281	22354
218	17363	22279
219	17445	22203
220	17550	22156
221	17636	22085
222	17709	21998
223	17797	21929
224	17878	21851
225	17976	21795
226	18065	21726
227	18150	21653
228	18230	21574
229	18299	21481
230	18381	21405
231	18462	21326
232	18532	21236
233	18611	21157
234	18692	21078
235	18784	21013
236	18878	20949
237	18944	20854
238	19026	20778
239	19096	20688
240	19173	20606
241	19255	20528
242	19352	20466
243	19433	20388
244	19515	20311
245	19597	20234
246	19670	20147
247	19763	20081
248	19840	19999
249	19931	19931
250	20014	19854
251	20089	19771
252	20172	19693
253	20253	19615
254	20332	19534
255	20404	19448
256	20477	19361
257	20566	19290
258	20643	19208
259	20724	19130
260	20819	19064
261	20901	18986
262	20980	18906
263	21055	18822
264	21135	18743
265	21231	18677
266	21373	18651
267	21478	18593
268	21565	18519
269	21657	18448
270	21739	18370
271	21825	18294
272	21909	18217
273	21993	18140
274	22118	18096
275	22223	18036
276	22295	17949
277	22390	17880
278	22478	17805
279	22554	17721
280	22675	17672
281	22759	17594
282	22833	17508
283	22931	17441
284	23009	17357
285	23109	17291
286	23208	17224
287	23290	17144
288	23374	17066
289	23453	16983
290	23593	16945
291	23720	16896
292	23841	16843
293	23956	16785
294	24037	16704
295	24115	16620
296	24203	16542
297	24298	16470
298	24377	16387
299	24468	16312
300	24555	16234
301	24630	16148
302	24719	16071
303	24803	15991
304	24892	15915
305	25005	15852
306	25096	15777
307	25193	15705
308	25277	15624
309	25364	15546
310	25460	15472
311	25541	15390
312	25620	15306
313	25703	15225
314	25784	15143
315	25879	15069
316	25971	14993
317	26075	14923
318	26203	14867
319	26297	14792
320	26375	14707
321	26463	14629
322	26555	14551
323	26641	14471
324	26737	14397
325	26814	14312
326	26908	14236
327	26997	14157
328	27094	14082
329	27190	14007
330	27298	13937
331	27388	13858
332	27470	13776
333	27556	13695
334	27644	13615
335	27741	13540
336	27830	13460
337	27914	13378
338	28002	13299
339	28086	13217
340	28193	13146
341	28263	13057
342	28346	12974
343	28421	12888
344	28516	12811
345	28600	12729
346	28700	12654
347	28790	12575
348	28873	12492
349	28953	12408
350	29048	12331
351	29130	12248
352	29212	12164
353	29291	12080
354	29376	11998
355	29461	11916
356	29538	11831
357	29614	11746
358	29701	11665
359	29779	11581
360	29863	11498
361	29947	11416
362	30018	11329
363	30097	11245
364	30193	11167
365	30293	11091
366	30399	11016
367	30488	10936
368	30582	10857
369	30679	10779
370	30774	10700
371	30866	10620
372	30960	10541
373	31045	10459
374	31137	10379
375	31230	10299
376	31309	10215
377	31395	10132
378	31495	10055
379	31578	9972
380	31656	9887
381	31733	9802
382	31814	9718
383	31906	9638
384	31996	9557
385	32075	9473
386	32167	9392
387	32266	9313
388	32345	9229
389	32417	9143
390	32512	9063
391	32602	8982
392	32696	8902
393	32790	8821
394	32896	8744
395	32985	8662
396	33130	8595
397	33250	8521
398	33349	8441
399	33456	8364
400	33551	8283
401	33633	8199
402	33710	8113
403	33792	8029
404	33880	7947
405	33969	7864
406	34048	7780
407	34144	7699
408	34239	7618
409	34330	7535
410	34409	7451
411	34501	7369
412	34597	7288
413	34684	7204
414	34783	7124
415	34866	7040
416	34949	6956
417	35044	6874
418	35142	6793
419	35228	6710
420	35302	6624
421	35387	6540
422	35476	6457
423	35562	6374
424	35652	6291
425	35747	6209
426	35833	6126
427	35921	6042
428	36002	5958
429	36101	5876
430	36178	5791
431	36278	5710
432	36370	5627
433	36466	5545
434	36561	5463
435	36648	5379
436	36739	5296
437	36820	5212
438	36901	5127
439	36974	5041
440	37058	4957
441	37153	4875
442	37234	4790
443	37310	4705
444	37389	4621
445	37492	4539
446	37573	4455
447	37648	4369
448	37750	4287
449	37828	4203
450	37909	4118
451	37998	4035
452	38077	3950
453	38167	3867
454	38258	3783
455	38340	3699
456	38426	3615
457	38503	3530
458	38587	3446
459	38671	3362
460	38763	3279
461	38841	3194
462	38928	3110
463	39019	3027
464	39108	2943
465	39272	2865
466	39403	2784
467	39483	2699
468	39568	2615
469	39656	2531
470	39722	2445
471	39814	2361
472	39907	2278
473	39989	2193
474	40071	2109
475	40179	2025
476	40267	1941
477	40350	1857
478	40440	1772
479	40542	1689
480	40629	1604
481	40714	1520
482	40799	1436
483	40899	1352
484	40988	1267
485	41085	1183
486	41174	1099
487	41248	1014
488	41355	930
489	41441	845
490	41533	761
491	41622	676
492	41706	592
493	41801	507
494	41890	423
495	41992	338
496	42074	253
497	42172	169
498	42260	84
499	42352	0
