iter	Passed	Remaining
0	79	39263
1	141	35109
2	214	35310
3	277	34252
4	338	33386
5	396	32503
6	455	31920
7	515	31589
8	577	31380
9	643	31404
10	703	31134
11	772	31280
12	843	31475
13	931	32216
14	1056	34022
15	1150	34653
16	1217	34457
17	1286	34300
18	1352	34101
19	1423	34015
20	1515	34429
21	1572	34030
22	1644	33966
23	1713	33850
24	1751	33140
25	1803	32733
26	1872	32668
27	1952	32770
28	2012	32543
29	2082	32493
30	2155	32472
31	2233	32518
32	2286	32219
33	2340	31947
34	2409	31877
35	2470	31702
36	2532	31555
37	2598	31460
38	2666	31386
39	2720	31147
40	2777	30954
41	2841	30851
42	2909	30791
43	2969	30639
44	3041	30614
45	3106	30520
46	3165	30371
47	3237	30348
48	3308	30315
49	3375	30246
50	3413	29916
51	3478	29837
52	3542	29741
53	3618	29752
54	3682	29658
55	3754	29633
56	3818	29544
57	3897	29563
58	3959	29459
59	4034	29451
60	4103	29398
61	4162	29273
62	4224	29166
63	4295	29128
64	4356	29023
65	4415	28902
66	4485	28855
67	4554	28801
68	4622	28740
69	4680	28618
70	4746	28544
71	4778	28269
72	4853	28255
73	4934	28275
74	5007	28244
75	5081	28217
76	5174	28290
77	5220	28110
78	5290	28059
79	5360	28009
80	5421	27910
81	5491	27859
82	5562	27813
83	5621	27704
84	5685	27625
85	5758	27589
86	5825	27518
87	5882	27405
88	5948	27336
89	6008	27238
90	6077	27183
91	6130	27055
92	6150	26784
93	6191	26608
94	6249	26511
95	6314	26442
96	6370	26333
97	6440	26285
98	6506	26221
99	6572	26157
100	6645	26121
101	6710	26053
102	6780	26004
103	6849	25948
104	6916	25888
105	6991	25856
106	7057	25791
107	7119	25709
108	7191	25665
109	7259	25605
110	7329	25553
111	7400	25505
112	7471	25455
113	7546	25419
114	7610	25347
115	7675	25277
116	7742	25213
117	7813	25162
118	7888	25125
119	7960	25077
120	7988	24888
121	8058	24837
122	8136	24805
123	8211	24766
124	8274	24690
125	8335	24610
126	8409	24565
127	8482	24519
128	8549	24454
129	8615	24387
130	8683	24327
131	8748	24257
132	8813	24187
133	8882	24127
134	8948	24062
135	9027	24029
136	9096	23970
137	9174	23932
138	9253	23899
139	9315	23820
140	9397	23792
141	9457	23710
142	9527	23651
143	9589	23573
144	9662	23522
145	9723	23443
146	9788	23372
147	9861	23321
148	9934	23269
149	9996	23191
150	10072	23147
151	10145	23094
152	10219	23043
153	10289	22985
154	10354	22913
155	10421	22847
156	10492	22788
157	10563	22732
158	10634	22672
159	10704	22612
160	10766	22535
161	10836	22475
162	10908	22418
163	10981	22365
164	11050	22302
165	11118	22237
166	11184	22168
167	11242	22084
168	11310	22018
169	11374	21945
170	11443	21882
171	11514	21824
172	11591	21776
173	11659	21710
174	11723	21638
175	11786	21564
176	11870	21527
177	11940	21465
178	12006	21397
179	12075	21333
180	12141	21263
181	12214	21208
182	12275	21129
183	12337	21053
184	12403	20985
185	12480	20934
